Accident_ID,Location,Latitude,Longitude,Date,Time,Severity,Cause,Road_Type,Weather
ID-1,Chennai,13.09183,80.105,2023-02-22,19:47,Minor,Signal Jumping,Rural Road,Clear
ID-2,Pune,18.48438,73.70596,2023-10-15,07:01,Serious,Weather/Low Visibility,Highway,Dust Storm
ID-3,Delhi,28.51128,77.23465,2023-03-21,20:17,Minor,Weather/Low Visibility,Highway,Fog
ID-4,Jaipur,26.81934,75.8695,2023-10-02,04:29,Minor,Weather/Low Visibility,Highway,Dust Storm
ID-5,Indore,22.76588,75.8237,2023-01-24,10:04,Serious,Signal Jumping,City Road,Rain
ID-6,Mumbai,19.1566,72.9733,2023-07-06,15:53,Minor,Weather/Low Visibility,City Road,Fog
ID-7,Bangalore,12.88009,77.68733,2023-10-01,23:10,Fatal,Drunk Driving,Highway,Rain
ID-8,Bangalore,13.07762,77.63763,2023-01-17,14:14,Serious,Weather/Low Visibility,City Road,Dust Storm
ID-9,Mumbai,19.17394,72.91344,2023-07-22,13:31,Minor,Weather/Low Visibility,Highway,Dust Storm
ID-10,Delhi,28.49865,77.08068,2023-10-26,21:57,Serious,Weather/Low Visibility,Highway,Fog
ID-11,Delhi,28.45533,77.04676,2023-12-15,23:10,Minor,Distracted Driving,City Road,Clear
ID-12,Nagpur,21.09361,78.97542,2023-12-16,17:07,Fatal,Weather/Low Visibility,Rural Road,Fog
ID-13,Jaipur,26.8587,75.73163,2023-04-02,17:32,Fatal,Potholes,Rural Road,Clear
ID-14,Hyderabad,17.35969,78.42779,2023-03-24,04:48,Minor,Potholes,Rural Road,Clear
ID-15,Mumbai,18.99725,72.8039,2023-10-18,18:15,Serious,Over-speeding,Rural Road,Clear
ID-16,Hyderabad,17.3972,78.31384,2023-10-09,13:30,Serious,Drunk Driving,Rural Road,Fog
ID-17,Varanasi,25.28463,82.94236,2023-06-09,19:45,Minor,Weather/Low Visibility,City Road,Fog
ID-18,Nashik,19.9903,73.74958,2023-04-28,12:35,Minor,Weather/Low Visibility,Highway,Rain
ID-19,Delhi,28.65244,76.91447,2023-05-23,08:15,Fatal,Weather/Low Visibility,Highway,Dust Storm
ID-20,Bangalore,13.01701,77.67648,2023-07-28,13:51,Serious,Drunk Driving,Highway,Clear
ID-21,Indore,22.7318,75.77086,2023-12-01,17:43,Serious,Signal Jumping,Highway,Clear
ID-22,Pune,18.48052,73.76786,2023-08-18,07:34,Minor,Weather/Low Visibility,Highway,Dust Storm
ID-23,Delhi,28.49992,77.26163,2023-10-04,18:41,Fatal,Over-speeding,Highway,Clear
ID-24,Mumbai,19.04569,72.84275,2023-07-19,03:00,Serious,Weather/Low Visibility,City Road,Dust Storm
ID-25,Lucknow,26.89908,80.91115,2023-04-22,19:18,Fatal,Over-speeding,Rural Road,Clear
ID-26,Bangalore,12.89408,77.51003,2023-09-18,10:03,Minor,Weather/Low Visibility,Highway,Rain
ID-27,Kolkata,22.63504,88.34704,2023-01-21,13:38,Fatal,Potholes,City Road,Clear
ID-28,Bangalore,12.99721,77.61305,2023-06-10,13:45,Serious,Weather/Low Visibility,City Road,Fog
ID-29,Nashik,20.0291,73.79144,2023-02-21,15:36,Fatal,Weather/Low Visibility,Rural Road,Rain
ID-30,Jaipur,26.98665,75.87617,2023-10-06,19:28,Minor,Signal Jumping,Rural Road,Fog
ID-31,Nagpur,21.16142,79.05868,2023-03-10,14:06,Minor,Distracted Driving,Highway,Clear
ID-32,Chennai,13.12273,80.13109,2023-04-15,02:21,Fatal,Weather/Low Visibility,Rural Road,Fog
ID-33,Delhi,28.73844,76.84615,2023-03-08,18:21,Serious,Signal Jumping,Highway,Fog
ID-34,Hyderabad,17.41034,78.38554,2023-03-18,23:57,Serious,Potholes,City Road,Clear
ID-35,Chennai,12.94443,80.12549,2023-12-16,20:13,Serious,Drunk Driving,City Road,Clear
ID-36,Delhi,28.71205,77.24207,2023-05-02,10:59,Serious,Weather/Low Visibility,City Road,Rain
ID-37,Nagpur,21.14731,78.99966,2023-03-23,19:17,Minor,Signal Jumping,City Road,Clear
ID-38,Nagpur,21.17443,79.15758,2023-04-27,07:19,Minor,Drunk Driving,Rural Road,Clear
ID-39,Pune,18.43863,73.76565,2023-07-24,23:32,Minor,Weather/Low Visibility,Highway,Fog
ID-40,Bangalore,12.85357,77.69251,2023-06-26,06:27,Serious,Signal Jumping,City Road,Fog
ID-41,Chennai,13.05343,80.17704,2023-08-12,18:45,Minor,Weather/Low Visibility,City Road,Rain
ID-42,Hyderabad,17.48977,78.48415,2023-06-03,17:46,Serious,Weather/Low Visibility,Rural Road,Fog
ID-43,Delhi,28.56096,76.94783,2023-12-13,15:24,Minor,Weather/Low Visibility,Rural Road,Rain
ID-44,Bangalore,12.92182,77.66675,2023-10-24,13:50,Minor,Weather/Low Visibility,City Road,Fog
ID-45,Meerut,29.03513,77.70223,2023-09-21,18:18,Serious,Signal Jumping,Highway,Fog
ID-46,Hyderabad,17.45023,78.43456,2023-05-06,13:02,Serious,Distracted Driving,City Road,Clear
ID-47,Delhi,28.75445,77.08784,2023-05-05,21:25,Minor,Drunk Driving,Highway,Clear
ID-48,Delhi,28.71137,76.90942,2023-05-08,10:35,Serious,Over-speeding,Highway,Dust Storm
ID-49,Mumbai,19.19637,72.91909,2023-10-08,10:27,Serious,Weather/Low Visibility,Rural Road,Rain
ID-50,Meerut,28.99001,77.75036,2023-05-03,08:40,Minor,Distracted Driving,Highway,Dust Storm
ID-51,Lucknow,26.7469,80.86717,2023-07-16,06:14,Minor,Weather/Low Visibility,Rural Road,Rain
ID-52,Bangalore,12.92446,77.56618,2023-08-04,19:53,Minor,Distracted Driving,Rural Road,Clear
ID-53,Pune,18.4954,73.88855,2023-10-07,02:47,Minor,Weather/Low Visibility,City Road,Rain
ID-54,Mumbai,18.90871,72.86723,2023-08-28,05:53,Minor,Drunk Driving,City Road,Clear
ID-55,Jaipur,26.91838,75.8326,2023-08-25,00:55,Minor,Drunk Driving,City Road,Clear
ID-56,Mumbai,18.9635,72.86537,2023-02-11,20:53,Serious,Signal Jumping,Rural Road,Clear
ID-57,Jaipur,26.81042,75.89038,2023-01-16,12:02,Minor,Drunk Driving,Highway,Rain
ID-58,Delhi,28.49542,77.03678,2023-05-12,13:44,Fatal,Distracted Driving,Rural Road,Rain
ID-59,Madurai,9.94959,78.02291,2023-06-09,22:01,Serious,Drunk Driving,City Road,Dust Storm
ID-60,Kolkata,22.61842,88.46611,2023-12-17,20:54,Minor,Potholes,Rural Road,Clear
ID-61,Hyderabad,17.45653,78.36944,2023-11-28,11:32,Fatal,Distracted Driving,City Road,Clear
ID-62,Nashik,20.06447,73.72111,2023-08-11,23:09,Minor,Drunk Driving,Rural Road,Fog
ID-63,Bangalore,12.94505,77.58711,2023-05-06,14:54,Serious,Weather/Low Visibility,City Road,Fog
ID-64,Nashik,19.99294,73.82207,2023-06-16,21:54,Minor,Weather/Low Visibility,Highway,Dust Storm
ID-65,Delhi,28.50334,76.93983,2023-09-22,11:00,Minor,Drunk Driving,Highway,Clear
ID-66,Kolkata,22.64401,88.39772,2023-09-09,01:45,Fatal,Drunk Driving,Highway,Clear
ID-67,Kolkata,22.63836,88.36124,2023-06-26,04:33,Serious,Weather/Low Visibility,City Road,Fog
ID-68,Pune,18.45418,73.75028,2023-10-02,20:07,Minor,Weather/Low Visibility,Highway,Rain
ID-69,Mumbai,19.04526,72.94492,2023-04-10,18:53,Minor,Weather/Low Visibility,City Road,Rain
ID-70,Lucknow,26.70283,80.90683,2023-12-24,22:18,Minor,Drunk Driving,Highway,Dust Storm
ID-71,Kolkata,22.59388,88.38809,2023-02-03,14:07,Fatal,Weather/Low Visibility,Highway,Dust Storm
ID-72,Bangalore,13.00594,77.53035,2023-10-13,08:07,Serious,Weather/Low Visibility,Rural Road,Rain
ID-73,Meerut,29.0817,77.65947,2023-01-31,14:39,Minor,Distracted Driving,Highway,Clear
ID-74,Kolkata,22.6251,88.35293,2023-02-08,19:35,Minor,Drunk Driving,City Road,Clear
ID-75,Pune,18.4901,73.81876,2023-05-25,13:45,Serious,Signal Jumping,Highway,Dust Storm
ID-76,Lucknow,26.88478,80.95757,2023-02-28,10:27,Fatal,Weather/Low Visibility,Rural Road,Rain
ID-77,Kolkata,22.55313,88.32845,2023-10-19,07:47,Minor,Weather/Low Visibility,Highway,Dust Storm
ID-78,Varanasi,25.26082,82.9805,2023-02-11,21:28,Serious,Potholes,City Road,Clear
ID-79,Delhi,28.69381,77.10186,2023-10-22,23:53,Serious,Potholes,Rural Road,Clear
ID-80,Varanasi,25.31525,83.05262,2023-05-23,23:28,Minor,Drunk Driving,Rural Road,Dust Storm
ID-81,Bangalore,12.941,77.58167,2023-07-30,12:21,Minor,Signal Jumping,City Road,Dust Storm
ID-82,Bangalore,12.92014,77.6521,2023-06-15,09:16,Minor,Over-speeding,Rural Road,Dust Storm
ID-83,Varanasi,25.20023,83.07387,2023-07-05,19:33,Minor,Weather/Low Visibility,Rural Road,Dust Storm
ID-84,Delhi,28.42064,76.93353,2023-03-04,23:31,Minor,Weather/Low Visibility,Rural Road,Rain
ID-85,Delhi,28.6209,76.8466,2023-03-20,12:53,Minor,Weather/Low Visibility,Rural Road,Fog
ID-86,Lucknow,26.7831,80.8965,2023-07-16,22:09,Minor,Weather/Low Visibility,Highway,Rain
ID-87,Bangalore,12.92448,77.68685,2023-06-02,08:46,Minor,Weather/Low Visibility,Highway,Dust Storm
ID-88,Nagpur,21.09687,78.99973,2023-04-07,20:55,Minor,Weather/Low Visibility,Rural Road,Rain
ID-89,Hyderabad,17.4712,78.38216,2023-07-15,15:58,Minor,Weather/Low Visibility,City Road,Rain
ID-90,Kolkata,22.52525,88.49307,2023-08-22,18:33,Minor,Over-speeding,City Road,Rain
ID-91,Nashik,20.09399,73.71497,2023-11-29,16:25,Serious,Over-speeding,Rural Road,Fog
ID-92,Delhi,28.552,76.95833,2023-02-05,16:39,Fatal,Drunk Driving,Highway,Fog
ID-93,Hyderabad,17.38679,78.31969,2023-12-22,12:10,Serious,Distracted Driving,Highway,Clear
ID-94,Pune,18.46487,73.71122,2023-09-29,02:15,Fatal,Weather/Low Visibility,Highway,Rain
ID-95,Indore,22.67651,75.83663,2023-11-23,13:29,Fatal,Distracted Driving,City Road,Dust Storm
ID-96,Hyderabad,17.47978,78.39305,2023-08-15,19:04,Serious,Distracted Driving,Rural Road,Fog
ID-97,Kolkata,22.63806,88.39137,2023-05-02,02:06,Fatal,Weather/Low Visibility,Rural Road,Fog
ID-98,Pune,18.40439,73.86601,2023-12-18,12:55,Minor,Signal Jumping,Rural Road,Clear
ID-99,Lucknow,26.84903,80.96657,2023-11-22,20:14,Minor,Drunk Driving,Rural Road,Fog
ID-100,Bangalore,13.03024,77.63617,2023-01-21,23:41,Serious,Weather/Low Visibility,Highway,Dust Storm
ID-101,Chennai,12.92704,80.15902,2023-10-04,05:08,Fatal,Weather/Low Visibility,Highway,Fog
ID-102,Varanasi,25.36494,82.99637,2023-02-08,18:29,Minor,Drunk Driving,Rural Road,Rain
ID-103,Chennai,13.19398,80.29345,2023-05-16,08:00,Serious,Potholes,City Road,Clear
ID-104,Mumbai,19.01058,72.9498,2023-02-25,15:23,Serious,Weather/Low Visibility,City Road,Rain
ID-105,Bangalore,13.06527,77.61228,2023-08-26,18:40,Minor,Weather/Low Visibility,Rural Road,Fog
ID-106,Pune,18.42796,73.88925,2023-10-03,18:15,Minor,Weather/Low Visibility,City Road,Dust Storm
ID-107,Bangalore,13.08481,77.6393,2023-03-21,23:46,Fatal,Signal Jumping,City Road,Clear
ID-108,Delhi,28.78061,76.81636,2023-07-05,02:15,Fatal,Over-speeding,Rural Road,Fog
ID-109,Indore,22.61211,75.75518,2023-11-25,23:13,Serious,Signal Jumping,Highway,Clear
ID-110,Delhi,28.49743,76.86296,2023-10-28,12:13,Serious,Drunk Driving,City Road,Rain
ID-111,Mumbai,19.13659,72.9192,2023-03-31,13:16,Fatal,Over-speeding,Highway,Clear
ID-112,Kolkata,22.658,88.34759,2023-03-06,20:03,Fatal,Weather/Low Visibility,Rural Road,Dust Storm
ID-113,Chennai,12.91907,80.18966,2023-09-15,18:28,Minor,Drunk Driving,Rural Road,Clear
ID-114,Indore,22.75665,75.8734,2023-02-01,23:01,Serious,Weather/Low Visibility,City Road,Dust Storm
ID-115,Delhi,28.76388,76.83675,2023-03-06,19:04,Fatal,Distracted Driving,City Road,Fog
ID-116,Pune,18.50611,73.79074,2023-12-02,23:07,Serious,Drunk Driving,City Road,Rain
ID-117,Kolkata,22.56779,88.3907,2023-06-10,12:27,Minor,Signal Jumping,City Road,Fog
ID-118,Varanasi,25.33736,82.99485,2023-07-10,12:06,Minor,Drunk Driving,Rural Road,Clear
ID-119,Madurai,9.99132,78.11234,2023-12-07,06:55,Fatal,Signal Jumping,City Road,Clear
ID-120,Delhi,28.52498,76.8518,2023-04-25,04:30,Fatal,Weather/Low Visibility,Rural Road,Fog
ID-121,Jaipur,26.95252,75.81482,2023-11-26,03:43,Serious,Potholes,Rural Road,Clear
ID-122,Indore,22.76589,75.75349,2023-06-23,01:58,Minor,Distracted Driving,Highway,Clear
ID-123,Bangalore,12.9699,77.58016,2023-09-29,11:05,Serious,Weather/Low Visibility,City Road,Dust Storm
ID-124,Nashik,19.93148,73.76233,2023-01-27,18:56,Minor,Weather/Low Visibility,Rural Road,Rain
ID-125,Bangalore,12.82447,77.58862,2023-05-20,09:26,Minor,Drunk Driving,City Road,Clear
